longitude,latitude
42.5175327,-73.9130486
42.5146711,-73.9129811
42.5118091,-73.9129137
42.508947,-73.9128461
42.5060845,-73.9127786
42.5032219,-73.912711
42.500359,-73.9126433
42.4974958,-73.9125756
42.4946324,-73.9125079
42.4917687,-73.9124401
42.4889048,-73.9123723
42.4860407,-73.9123044
42.4831763,-73.9122365
42.4803117,-73.9121685
42.4774468,-73.9121005
42.4745817,-73.9120325
42.4717163,-73.9119644
42.4688507,-73.9118962
42.4659849,-73.9118281
42.4631187,-73.9117598
42.4602524,-73.9116916
42.4574145,-73.9116239
42.7998928,-73.9186079
42.7970553,-73.9185449
42.7942176,-73.9184817
42.7913796,-73.9184185
42.7885414,-73.9183553
42.7857029,-73.9182921
42.7828642,-73.9182287
42.7800253,-73.9181654
42.7771861,-73.918102
42.7743467,-73.9180386
42.771507,-73.9179751
42.7686671,-73.9179116
42.7658269,-73.917848
42.7629865,-73.9177844
42.7601459,-73.9177207
42.757305,-73.917657
42.7544639,-73.9175933
42.7516226,-73.9175295
42.748781,-73.9174657
42.7459391,-73.9174018
42.7430971,-73.9173379
42.7402548,-73.9172739
42.7374122,-73.9172099
42.7345694,-73.9171459
42.7317264,-73.9170818
42.7288831,-73.9170177
42.7260395,-73.9169535
42.7231958,-73.9168893
42.7203518,-73.916825
42.7175075,-73.9167607
42.714663,-73.9166964
42.7118183,-73.916632
42.7089733,-73.9165675
42.7061281,-73.9165031
42.7032827,-73.9164385
42.700437,-73.916374
42.697591,-73.9163094
42.6947448,-73.9162447
42.6918984,-73.91618
42.6890517,-73.9161153
42.6862048,-73.9160505
42.6833577,-73.9159857
42.6805103,-73.9159208
42.6776627,-73.9158559
42.6748148,-73.9157909
42.6719667,-73.9157259
42.6691183,-73.9156609
42.6662697,-73.9155958
42.6634208,-73.9155306
42.6605717,-73.9154655
42.6577224,-73.9154002
42.6548728,-73.915335
42.652023,-73.9152697
42.649173,-73.9152043
42.6463227,-73.9151389
42.6434721,-73.9150735
42.6406213,-73.915008
42.6377703,-73.9149425
42.634919,-73.9148769
42.6320675,-73.9148113
42.6292157,-73.9147456
42.6263637,-73.9146799
42.6235115,-73.9146142
42.620659,-73.9145484
42.6178062,-73.9144825
42.6149533,-73.9144167
42.6121001,-73.9143507
42.6092466,-73.9142848
42.6063929,-73.9142188
42.6035389,-73.9141527
42.6006847,-73.9140866
42.5978303,-73.9140205
42.5949756,-73.9139543
42.5921207,-73.913888
42.5892655,-73.9138218
42.5864101,-73.9137554
42.5835544,-73.9136891
42.5806985,-73.9136227
42.5778424,-73.9135562
42.574986,-73.9134897
42.5721294,-73.9134232
42.5692725,-73.9133566
42.5664154,-73.91329
42.563558,-73.9132233
42.5607004,-73.9131566
42.5578425,-73.9130898
42.5549844,-73.913023
42.5521261,-73.9129562
42.5492675,-73.9128893
42.5464087,-73.9128223
42.5435496,-73.9127554
42.5406903,-73.9126883
42.5378307,-73.9126213
42.5349709,-73.9125541
42.5321108,-73.912487
42.5292505,-73.9124198
42.52639,-73.9123525
42.5235292,-73.9122852
42.5206681,-73.9122179
42.5178069,-73.9121505
42.5149453,-73.9120831
42.5120836,-73.9120156
42.5092215,-73.9119481
42.5063593,-73.9118806
42.5034968,-73.911813
42.500634,-73.9117453
42.497771,-73.9116776
42.4949078,-73.9116099
42.4920443,-73.9115421
42.4891806,-73.9114743
42.4863166,-73.9114064
42.4834523,-73.9113385
